start,stop,projekt,zadanie
2023-05-25T11:42:11,2023-05-27T13:42:11,mwo,testy
2023-05-26T11:42:11,2023-05-27T15:33:55,mwo,testy
2023-05-27T15:31:05,2023-05-28T08:23:54,AGH,testyyyyy
2023-05-27T15:32:25,2023-05-28T06:12:33,AGH,testyyyyy
2023-05-27T15:34:17,2023-05-28T04:22:11,AGH,testyyyyy
2023-05-28T09:55:57,2023-05-28T10:55:57,project,task99
2023-05-27T15:43:19,2023-05-27T15:43:19,XD,xdxdxd
2023-05-27T15:44:02,2023-05-27T15:44:02,XD,XDDED
2023-05-27T15:45:10,2023-05-27T15:45:10,XD,XDDED
2023-05-27T15:45:27,2023-05-27T15:45:27,dedededed,XDadadddddddddddasdDED
