start,stop,projekt,zadanie
2023-05-20T08:32:41,2023-05-20T13:42:03,java,task2
2023-05-20T14:22:13,2023-05-20T17:57:37,java,task3
2023-05-21T03:22:41,2023-05-21T12:21:32,mwo,task1
2023-05-22T07:32:57,2023-05-22T10:24:38,mwo,task2
2023-05-22T12:00:31,2023-05-22T17:20:01,mwo,task3
2023-05-23T09:12:27,2023-05-23T11:58:23,java,task3
2023-05-23T12:41:11,2023-05-23T15:33:22,java,task2
2023-05-24T07:52:37,2023-05-24T10:32:31,mwo,task1
2023-05-24T11:58:45,2023-05-24T16:03:44,java,task1
2023-05-25T07:58:43,2023-05-25T10:38:21,java,task2
2023-05-25T11:23:32,2023-05-25T15:54:31,mwo,task3
2023-05-25T16:21:11,2023-05-25T20:21:11,java,task1
2023-05-26T08:38:41,2023-05-26T12:21:11,java,task2
2023-05-26T13:01:12,2023-05-26T15:23:54,java,task3
2023-05-26T15:33:51,2023-05-26T18:01:03,mwo,task3
2023-05-27T08:22:11,2023-05-27T13:11:13,java,task2
2023-05-27T14:21:23,2023-05-27T15:11:25,java,task3
2023-05-27T15:34:13,2023-05-27T17:59:23,mwo,task1
2023-05-28T08:34:23,2023-05-28T10:23:11,mwo,task2
2023-05-28T11:11:23,2023-05-28T14:21:22,mwo,task1
2023-05-28T14:37:56,2023-05-28T15:12:13,java,task2
2023-05-28T15:33:23,2023-05-28T17:01:12,java,task1
2023-05-28T17:02:11,,mwo,task3
